feature,ks_stat,ks_pvalue,metric
Tela 41_part_5,0.5442244694487964,2.017165926245955e-14,KS
Tela 41_part_6,0.5935051986896454,2.2672464941624527e-17,KS
Tela 41_part_7,0.5635474528794568,1.6040717046710357e-15,KS
Tela 41_part_8,0.5423728813559322,2.2297273320075903e-14,KS
Tela 42_part_1,0.0896358543417367,0.771214412445466,KS
Tela 42_part_2,0.6440677966101694,1.0276988291273622e-20,KS
Tela 42_part_3,0.7288135593220338,2.7127278976786937e-27,KS
Tela 42_part_4,0.7910079285951669,3.985355063536055e-33,KS
Tela 42_part_5,0.8305084745762712,1.9601471382856913e-37,KS
Tela 43_part_1,0.0700280112044818,0.947158589242729,KS
Tela 43_part_2,0.7796610169491526,5.470652171482141e-32,KS
Tela 43_part_3,0.8738071499786355,8.28914470595029e-43,KS
Tela 43_part_4,0.6101694915254238,1.9568851177370332e-18,KS
Tela 43_part_5,0.7910079285951669,3.985355063536055e-33,KS
Tela 43_part_6,0.847457627118644,1.8370322676659778e-39,KS
Tela 43_part_7,0.8008355884726772,4.106055196094801e-34,KS
Tela 43_part_8,0.700659924986944,6.048956289409467e-25,KS
Tela 43_part_9,0.847457627118644,1.8370322676659778e-39,KS
Tela 43_part_10,0.8710060295304562,1.9797782960737382e-42,KS
Tela 43_part_11,0.9491525423728814,1.0375152683644403e-55,KS
Tela 43_part_12,0.6779661016949152,3.4977489494707947e-23,KS
Tela 43_part_13,0.9464938517779994,4.28940491070193e-55,KS
Tela 43_part_14,0.7774296159141623,1.0390358927334277e-31,KS
Tela 43_part_15,0.8135593220338984,1.6051224239681133e-35,KS
Tela 43_part_16,0.8814983620566871,6.124803399288742e-44,KS
Tela 43_part_17,0.9299719887955182,9.826103441269578e-52,KS
Tela 43_part_18,0.8955039642975834,5.183171029930746e-46,KS
Tela 43_part_19,0.8935574229691877,1.0185509866093673e-45,KS
Tela 43_part_20,0.711864406779661,7.288000176216658e-26,KS
Tela 44_part_1,0.0196078431372549,1.0,KS
Tela 44_part_2,0.6243175236196173,2.3041064396122597e-19,KS
Tela 44_part_3,0.6533257370744908,2.5870270595491636e-21,KS
Tela 44_part_4,0.5142192470208422,6.978981517406475e-13,KS
Tela 44_part_5,0.6243175236196173,2.3041064396122597e-19,KS
Tela 44_part_6,0.774058776052794,1.9632424043263836e-31,KS
Tela 44_part_7,0.6101694915254238,1.9568851177370332e-18,KS
Tela 47_part_1,0.0784313725490196,0.8856543527035187,KS
Tela 47_part_2,0.9156815268480274,3.480649594491457e-49,KS
Tela 48_part_1,0.06148222000664673,0.9832654471708833,KS
Tela 48_part_2,0.5423728813559322,2.2297273320075903e-14,KS
Tela 49_part_1,0.0,1.0,KS
Tela 49_part_2,0.9096519963917771,3.056439551675209e-48,KS
Tela 49_part_3,0.9012486350472393,6.973567156738028e-47,KS
Tela 49_part_4,0.7457627118644068,8.703462463931697e-29,KS
Tela 49_part_5,0.87029388026397,2.2390920919332457e-42,KS
Tela 49_part_6,0.6949152542372882,1.7042040353646674e-24,KS
Tela 49_part_7,0.9152542372881356,3.48089338814859e-49,KS
Tela 49_part_8,0.9152542372881356,3.48089338814859e-49,KS
Tela 50_part_1,0.1092436974789916,0.5391662322991547,KS
Tela 50_part_2,0.6646726487205051,3.947921741286267e-22,KS
Tela 50_part_3,0.6393201348335944,2.526545700970581e-20,KS
Tela 50_part_4,0.6271186440677966,1.4926473726629626e-19,KS
Tela 50_part_5,0.711864406779661,7.288000176216658e-26,KS
Tela 50_part_6,0.559322033898305,2.4771856434250892e-15,KS
Tela 50_part_7,0.6949152542372882,1.7042040353646674e-24,KS
Tela 50_part_8,0.8707211698238617,2.23681191475581e-42,KS
Tela 51_part_1,0.008403361344537815,1.0,KS
Tela 51_part_2,0.559322033898305,2.4771856434250892e-15,KS
Tela 52_part_1,0.12885154061624648,0.3364011248879548,KS
Tela 52_part_2,0.9408916108816407,6.575421265975308e-54,KS
Tela 52_part_3,0.7796610169491526,5.470652171482141e-32,KS
Tela 52_part_4,0.9467787114845938,4.189602237034185e-55,KS
Tela 52_part_5,0.7062621658833025,2.115538184795341e-25,KS
Tela 52_part_6,0.6779661016949152,3.4977489494707947e-23,KS
Tela 52_part_7,0.810758201585719,3.267327241780771e-35,KS
