feature,ks_stat,ks_pvalue,metric
Tela 01_part_1,0.7666666666666667,4.2073186357411847e-19,KS
Tela 02_part_1,0.6866666666666666,8.564322643314667e-15,KS
Tela 02_part_2,0.8484848484848485,8.580641672051547e-25,KS
Tela 02_part_3,0.8484848484848485,8.580641672051547e-25,KS
Tela 02_part_4,0.9844444444444445,2.6654323383010974e-44,KS
Tela 02_part_5,0.5151515151515151,4.526550005557158e-08,KS
Tela 02_part_6,0.5151515151515151,4.526550005557158e-08,KS
Tela 02_part_7,0.9577777777777777,1.0917117139667266e-37,KS
Tela 02_part_8,0.9068686868686868,1.6887463490958834e-30,KS
Tela 02_part_9,0.9696969696969697,1.4549313739407758e-40,KS
Tela 02_part_10,0.7575757575757576,1.4193295717345203e-18,KS
Tela 02_part_11,0.8787878787878788,1.6679717016014776e-27,KS
Tela 02_part_12,0.8111111111111111,5.688310425828926e-22,KS
Tela 02_part_13,0.9674747474747475,4.884412654386243e-40,KS
Tela 02_part_14,0.9696969696969697,1.4549313739407758e-40,KS
Tela 03_part_1,0.5444444444444444,4.9463636915948145e-09,KS
Tela 07_part_1,1.0,1.4296799207346103e-51,KS
Tela 07_part_2,1.0,1.4296799207346103e-51,KS
Tela 07_part_3,1.0,1.4296799207346103e-51,KS
Tela 07_part_4,1.0,1.4296799207346103e-51,KS
Tela 07_part_5,0.8111111111111111,5.688310425828926e-22,KS
Tela 07_part_6,1.0,1.4296799207346103e-51,KS
Tela 07_part_7,1.0,1.4296799207346103e-51,KS
Tela 10_part_1,0.8222222222222222,9.290129373720666e-23,KS
Tela 10_part_2,1.0,1.4296799207346103e-51,KS
Tela 10_part_3,1.0,1.4296799207346103e-51,KS
Tela 10_part_4,1.0,1.4296799207346103e-51,KS
Tela 10_part_5,1.0,1.4296799207346103e-51,KS
Tela 10_part_6,0.36666666666666664,0.00032797101071006725,KS
Tela 10_part_7,1.0,1.4296799207346103e-51,KS
Tela 13_part_1,0.29333333333333333,0.007707487944745591,KS
Tela 13_part_2,0.9696969696969697,1.4549313739407758e-40,KS
Tela 15_part_1,0.9911111111111112,9.442321036491748e-47,KS
Tela 15_part_2,0.9393939393939394,1.2586284956666806e-34,KS
Tela 17_part_1,0.5022222222222222,1.1209441126995129e-07,KS
Tela 17_part_2,0.9696969696969697,1.4549313739407758e-40,KS
Tela 19_part_1,0.8377777777777777,6.4358988302125975e-24,KS
Tela 19_part_2,0.9696969696969697,1.4549313739407758e-40,KS
Tela 21_part_1,0.23333333333333334,0.05878325280295918,KS
Tela 21_part_2,0.8181818181818182,1.6402384251681642e-22,KS
Tela 23_part_1,0.24888888888888888,0.0363494908082052,KS
Tela 23_part_2,0.7575757575757576,1.4193295717345203e-18,KS
Tela 25_part_1,0.8044444444444444,1.630678164563344e-21,KS
Tela 25_part_2,0.6363636363636364,1.6232719332776335e-12,KS
Tela 25_part_3,0.9696969696969697,1.4549313739407758e-40,KS
Tela 25_part_4,0.8484848484848485,8.580641672051547e-25,KS
Tela 25_part_5,0.9393939393939394,1.2586284956666806e-34,KS
Tela 25_part_6,0.9090909090909091,9.30420857930324e-31,KS
Tela 25_part_7,0.9393939393939394,1.2586284956666806e-34,KS
Tela 25_part_8,0.9393939393939394,1.2586284956666806e-34,KS
Tela 25_part_9,0.8787878787878788,1.6679717016014776e-27,KS
Tela 25_part_10,0.8484848484848485,8.580641672051547e-25,KS
Tela 25_part_11,0.7272727272727273,7.249351126533497e-17,KS
Tela 25_part_12,0.8181818181818182,1.6402384251681642e-22,KS
Tela 25_part_13,0.9393939393939394,1.2586284956666806e-34,KS
Tela 25_part_14,0.5151515151515151,4.526550005557158e-08,KS
Tela 25_part_15,1.0,1.4296799207346103e-51,KS
Tela 26_part_1,0.32666666666666666,0.0020172661459805304,KS
Tela 26_part_2,0.5151515151515151,4.526550005557158e-08,KS
Tela 26_part_3,0.9090909090909091,9.30420857930324e-31,KS
Tela 26_part_4,0.7272727272727273,7.249351126533497e-17,KS
Tela 26_part_5,0.5454545454545454,4.644716666247117e-09,KS
Tela 26_part_6,0.6060606060606061,2.8221502424580517e-11,KS
Tela 26_part_7,0.696969696969697,2.6689228919614713e-15,KS
Tela 27_part_1,0.7888888888888889,1.7395477404213803e-20,KS
Tela 27_part_2,1.0,1.4296799207346103e-51,KS
Tela 28_part_1,0.7577777777777778,1.4193295717345195e-18,KS
Tela 28_part_2,0.9090909090909091,9.30420857930324e-31,KS
Tela 28_part_3,0.5757575757575758,3.9859862841607837e-10,KS
Tela 28_part_4,0.7272727272727273,7.249351126533497e-17,KS
Tela 28_part_5,0.5757575757575758,3.9859862841607837e-10,KS
Tela 28_part_6,0.5454545454545454,4.644716666247117e-09,KS
Tela 28_part_7,0.6363636363636364,1.6232719332776335e-12,KS
Tela 28_part_8,0.5757575757575758,3.9859862841607837e-10,KS
Tela 29_part_1,0.9955555555555555,8.506595528370945e-49,KS
Tela 29_part_2,0.16444444444444445,0.3373467593094317,KS
Tela 29_part_3,0.6511111111111111,3.7182431491898266e-13,KS
Tela 29_part_4,0.6266666666666667,4.108433081715664e-12,KS
Tela 29_part_5,0.7488888888888889,4.64179205676013e-18,KS
Tela 30_part_1,0.9711111111111111,1.4549313676930727e-40,KS
Tela 30_part_2,0.9090909090909091,9.30420857930324e-31,KS
Tela 31_part_1,0.7955555555555556,6.401294879921013e-21,KS
Tela 31_part_2,0.9090909090909091,9.30420857930324e-31,KS
Tela 31_part_3,0.9393939393939394,1.2586284956666806e-34,KS
Tela 31_part_4,0.5454545454545454,4.644716666247117e-09,KS
Tela 31_part_5,0.7878787878787878,1.8786871341905147e-20,KS
