feature,ks_stat,ks_pvalue,metric
Tela 01_part_1,0.12530120481927712,0.673606309458826,KS
Tela 02_part_1,0.15180722891566265,0.4355272580017008,KS
Tela 02_part_2,0.7906535231836437,1.712389911234866e-20,KS
Tela 02_part_3,0.8484848484848485,1.1278824393431461e-24,KS
Tela 02_part_4,0.10120481927710843,0.8792961489198916,KS
Tela 02_part_5,0.5151515151515151,4.9598699058564936e-08,KS
Tela 02_part_6,0.5151515151515151,4.9598699058564936e-08,KS
Tela 02_part_7,0.27228915662650605,0.016959061537490005,KS
Tela 02_part_8,0.5524644030668127,2.9950468042344357e-09,KS
Tela 02_part_9,0.07572106608251186,0.9885315790717489,KS
Tela 02_part_10,0.7575757575757576,1.9408730796526494e-18,KS
Tela 02_part_11,0.7848119751734209,4.194941347310845e-20,KS
Tela 02_part_12,0.15903614457831325,0.37879579170746197,KS
Tela 02_part_13,0.20825118656443958,0.12076897996665319,KS
Tela 02_part_14,0.29258853596202994,0.008125032510621239,KS
Tela 03_part_1,0.21927710843373494,0.08947405296838461,KS
Tela 07_part_1,0.08433734939759036,0.9673878680529218,KS
Tela 07_part_2,0.8746987951807229,8.621214995634967e-27,KS
Tela 07_part_3,0.8361445783132531,1.2779299852124274e-23,KS
Tela 07_part_4,0.8048192771084337,2.1433000645054987e-21,KS
Tela 07_part_5,0.1614457831325301,0.3609480890234664,KS
Tela 07_part_6,0.8409638554216867,5.4919643155100434e-24,KS
Tela 07_part_7,0.8771084337349397,5.206044496806021e-27,KS
Tela 10_part_1,0.15180722891566265,0.4355272580017008,KS
Tela 10_part_2,0.8313253012048193,2.925158922403497e-23,KS
Tela 10_part_3,0.8096385542168675,1.0117332555676192e-21,KS
Tela 10_part_4,0.963855421686747,2.0462490655103543e-38,KS
Tela 10_part_5,0.8867469879518072,6.450234718274008e-28,KS
Tela 10_part_6,0.10602409638554217,0.8435220705359331,KS
Tela 10_part_7,0.9228915662650602,6.791020426497446e-32,KS
Tela 13_part_1,0.2674698795180723,0.02003268630868828,KS
Tela 13_part_2,0.9094560058415481,1.9462062174867262e-30,KS
Tela 15_part_1,0.07228915662650602,0.99321008355626,KS
Tela 15_part_2,0.910478276743337,1.9067671343330464e-30,KS
Tela 17_part_1,0.21204819277108433,0.10909860206458488,KS
Tela 17_part_2,0.8299379335523914,3.569311069798232e-23,KS
Tela 19_part_1,0.07951807228915662,0.9810259732447942,KS
Tela 19_part_2,0.8058415480102227,1.855518293038879e-21,KS
Tela 21_part_1,0.10361445783132531,0.8619007942477696,KS
Tela 21_part_2,0.7627601314348302,8.989836691843835e-19,KS
Tela 23_part_1,0.14698795180722893,0.47582549695759013,KS
Tela 23_part_2,0.7575757575757576,1.9408730796526494e-18,KS
Tela 25_part_1,0.1180722891566265,0.7405368109414108,KS
Tela 25_part_2,0.6363636363636364,1.9273434382716255e-12,KS
Tela 25_part_3,0.8082511865644396,1.2703790455837496e-21,KS
Tela 25_part_4,0.8484848484848485,1.1278824393431461e-24,KS
Tela 25_part_5,0.8646951442132165,6.113769989497497e-26,KS
Tela 25_part_6,0.8705366922234392,1.572944525915232e-26,KS
Tela 25_part_7,0.8405987586710478,5.6096329852654e-24,KS
Tela 25_part_8,0.8405987586710478,5.6096329852654e-24,KS
Tela 25_part_9,0.8787878787878788,3.1265304114096203e-27,KS
Tela 25_part_10,0.8484848484848485,1.1278824393431461e-24,KS
Tela 25_part_11,0.7272727272727273,9.529941782831388e-17,KS
Tela 25_part_12,0.7458926615553122,8.517442416634627e-18,KS
Tela 25_part_13,0.782767433369843,5.944553999970226e-20,KS
Tela 25_part_14,0.5151515151515151,4.9598699058564936e-08,KS
Tela 25_part_15,0.1686746987951807,0.3107303808126129,KS
Tela 26_part_1,0.12771084337349398,0.6510091638667179,KS
Tela 26_part_2,0.5151515151515151,4.9598699058564936e-08,KS
Tela 26_part_3,0.8151150054764512,4.013945092291343e-22,KS
Tela 26_part_4,0.7272727272727273,9.529941782831388e-17,KS
Tela 26_part_5,0.49244249726177436,2.4358436200860856e-07,KS
Tela 26_part_6,0.5434100036509675,6.086342918419319e-09,KS
Tela 26_part_7,0.6343190945600584,2.3454028397574907e-12,KS
Tela 27_part_1,0.1686746987951807,0.3107303808126129,KS
Tela 27_part_2,0.8481927710843373,1.4973826002521303e-24,KS
Tela 28_part_1,0.13975903614457832,0.539443836391759,KS
Tela 28_part_2,0.9090909090909091,1.9462062174869287e-30,KS
Tela 28_part_3,0.5444322745527564,5.605955878882059e-09,KS
Tela 28_part_4,0.7272727272727273,9.529941782831388e-17,KS
Tela 28_part_5,0.5757575757575758,4.4961271240621054e-10,KS
