feature,ks_stat,ks_pvalue,metric
Tela 64_part_6,0.7172128060263654,3.9254194458743616e-27,KS
Tela 64_part_7,0.692165725047081,5.139718362641819e-25,KS
Tela 64_part_8,0.6440677966101694,2.5621375135416506e-21,KS
Tela 64_part_9,0.6429755178907721,3.0373243885646118e-21,KS
Tela 64_part_10,0.448210922787194,4.906000745855399e-10,KS
Tela 64_part_11,0.8813559322033898,9.490737884611204e-46,KS
Tela 64_part_12,0.6779661016949152,6.948942587605381e-24,KS
Tela 64_part_13,0.5899058380414313,1.2141906727901502e-17,KS
Tela 65_part_1,0.011111111111111112,1.0,KS
Tela 65_part_2,0.7627118644067796,2.237346184896186e-31,KS
Tela 65_part_3,0.7894161958568738,4.0547266456950685e-34,KS
Tela 65_part_4,0.5423728813559322,8.693354298703612e-15,KS
Tela 65_part_5,0.6885499058380414,1.0110315064813883e-24,KS
Tela 65_part_6,0.7352165725047081,9.583121972442817e-29,KS
Tela 65_part_7,0.740225988700565,3.400221549893682e-29,KS
Tela 65_part_8,0.644105461393597,2.5621375135416506e-21,KS
Tela 65_part_9,0.6610169491525424,1.421305875192277e-22,KS
Tela 65_part_10,0.864406779661017,3.363193865595893e-43,KS
Tela 65_part_11,0.8813559322033898,9.490737884611204e-46,KS
Tela 65_part_12,0.7702448210922788,4.02054414565912e-32,KS
Tela 65_part_13,0.7435404896421846,1.5692437288866514e-29,KS
Tela 66_part_1,0.022222222222222223,1.0,KS
Tela 66_part_2,0.7063276836158192,3.3965815530593123e-26,KS
Tela 66_part_3,0.9135969868173258,3.106959838554052e-51,KS
Tela 66_part_4,0.6554802259887006,3.6792662670310506e-22,KS
Tela 66_part_5,0.8061016949152542,6.579493834126228e-36,KS
Tela 66_part_6,0.7230131826741997,1.1893374347542668e-27,KS
Tela 66_part_7,0.7288135593220338,3.545818975111571e-28,KS
Tela 66_part_8,0.7966101694915254,6.792735675175241e-35,KS
Tela 66_part_9,0.5899058380414313,1.2141906727901502e-17,KS
Tela 66_part_10,0.6972128060263654,1.945577592587147e-25,KS
Tela 66_part_11,0.8841431261770245,4.164204782905374e-46,KS
Tela 66_part_12,0.711864406779661,1.10593503494757e-26,KS
Tela 66_part_13,0.8194350282485876,1.9109744267085383e-37,KS
Tela 66_part_14,0.6702071563088512,2.815808147679221e-23,KS
Tela 66_part_15,0.8560828625235405,4.2143726913025225e-42,KS
Tela 66_part_16,0.5268173258003767,6.366498559634154e-14,KS
Tela 66_part_17,0.8983050847457628,1.7791027016379916e-48,KS
Tela 66_part_18,0.6440677966101694,2.5621375135416506e-21,KS
Tela 66_part_19,0.6779661016949152,6.948942587605381e-24,KS
Tela 66_part_20,0.711864406779661,1.10593503494757e-26,KS
Tela 66_part_21,0.8249717514124294,3.88184114087598e-38,KS
Tela 66_part_22,0.559322033898305,9.111210275377923e-16,KS
Tela 66_part_23,0.8410922787193974,3.5681785521806446e-40,KS
Tela 66_part_24,0.6794350282485876,5.3054807792731256e-24,KS
Tela 66_part_25,0.7685499058380414,5.923492374633089e-32,KS
Tela 66_part_26,0.7732956685499058,2.0048330650833348e-32,KS
Tela 66_part_27,0.4581920903954802,1.7332599116106913e-10,KS
Tela 66_part_28,0.7252730696798494,7.540683837485416e-28,KS
Tela 66_part_29,0.5423728813559322,8.693354298703612e-15,KS
Tela 66_part_30,0.6874576271186441,1.2035221971803686e-24,KS
Tela 66_part_31,0.6297175141242938,2.5993722915138993e-20,KS
Tela 66_part_32,0.8871939736346516,1.167968091145362e-46,KS
Tela 66_part_33,0.7030508474576271,6.249840097767617e-26,KS
Tela 66_part_34,0.7627118644067796,2.237346184896186e-31,KS
Tela 66_part_35,0.5985310734463277,3.4161899449104648e-18,KS
Tela 66_part_36,0.8963841807909605,4.197643552233753e-48,KS
Tela 66_part_37,0.6440677966101694,2.5621375135416506e-21,KS
Tela 66_part_38,0.5518267419962335,2.505209067674818e-15,KS
Tela 66_part_39,0.7249717514124294,7.991689879980421e-28,KS
Tela 66_part_40,0.6610169491525424,1.421305875192277e-22,KS
Tela 66_part_41,0.7088888888888889,1.973271354092726e-26,KS
Tela 66_part_42,0.712165725047081,1.0853759196727464e-26,KS
Tela 66_part_43,0.6440677966101694,2.5621375135416506e-21,KS
Tela 66_part_44,0.7691525423728813,5.546039407669121e-32,KS
Tela 66_part_45,0.7166101694915255,4.4786732860342534e-27,KS
Tela 66_part_46,0.5155555555555555,2.520013512426837e-13,KS
Tela 66_part_47,0.7966101694915254,6.792735675175241e-35,KS
Tela 66_part_48,0.579924670433145,5.202736453198343e-17,KS
Tela 66_part_49,0.8305084745762712,8.780086108017926e-39,KS
Tela 66_part_50,0.7182674199623352,3.110530659296368e-27,KS
Tela 66_part_51,0.6957815442561205,2.574923583972172e-25,KS
Tela 66_part_52,0.7141619585687382,7.088831046519497e-27,KS
Tela 66_part_53,0.5932203389830508,7.506196017218704e-18,KS
Tela 66_part_54,0.7088512241054614,2.006292787616457e-26,KS
Tela 66_part_55,0.6746516007532957,1.2681737215383071e-23,KS
Tela 66_part_56,0.8816572504708098,9.490737884611204e-46,KS
Tela 66_part_57,0.8068926553672316,5.112057814538327e-36,KS
Tela 66_part_58,0.7216572504708098,1.603364732347779e-27,KS
Tela 66_part_59,0.6215819209039548,9.780087970176206e-20,KS
Tela 66_part_60,0.4712617702448211,4.274378585015477e-11,KS
Tela 66_part_61,0.7566101694915254,9.362231809760854e-31,KS
Tela 66_part_62,0.7757815442561206,1.1651856649848415e-32,KS
Tela 66_part_63,0.8135593220338984,8.767929636107873e-37,KS
Tela 66_part_64,0.7719020715630885,2.837719585211252e-32,KS
Tela 66_part_65,0.847457627118644,6.443226597600272e-41,KS
Tela 66_part_66,0.7627118644067796,2.237346184896186e-31,KS
Tela 66_part_67,0.744708097928437,1.3105338408121346e-29,KS
Tela 66_part_68,0.6779661016949152,6.948942587605381e-24,KS
Tela 66_part_69,0.75969868173258,4.554387086556576e-31,KS
Tela 66_part_70,0.7894161958568738,4.0547266456950685e-34,KS
Tela 66_part_71,0.7796610169491526,4.2905728757529294e-33,KS
Tela 69_part_1,0.015555555555555555,1.0,KS
